Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit, Profit % ,Cost
Corporate,Minnesota,Central,Technology,Accessories,45.98,2,0,19.7714, 0.43 , 26.21 
Corporate,Minnesota,Central,Office Supplies,Binders,17.46,2,0,8.2062, 0.47 , 9.25 
Consumer,Michigan,Central,Office Supplies,Storage,211.96,4,0,8.4784, 0.04 , 203.48 
Consumer,Delaware,East,Technology,Accessories,45,3,0,4.95, 0.11 , 40.05 
Consumer,Delaware,East,Technology,Phones,21.8,2,0,6.104, 0.28 , 15.70 
Consumer,Indiana,Central,Office Supplies,Binders,38.22,6,0,17.9634, 0.47 , 20.26 
Consumer,Indiana,Central,Office Supplies,Labels,75.18,6,0,35.3346, 0.47 , 39.85 
Consumer,Indiana,Central,Furniture,Furnishings,6.16,2,0,2.9568, 0.48 , 3.20 
Consumer,Indiana,Central,Furniture,Chairs,89.99,1,0,17.0981, 0.19 , 72.89 
Corporate,New York,East,Office Supplies,Fasteners,15.26,7,0,6.2566, 0.41 , 9.00 
Corporate,New York,East,Technology,Phones,1029.95,5,0,298.6855, 0.29 , 731.26 
Consumer,New York,East,Office Supplies,Storage,208.56,6,0,52.14, 0.25 , 156.42 
Consumer,New York,East,Office Supplies,Paper,32.4,5,0,15.552, 0.48 , 16.85 
Consumer,New York,East,Furniture,Chairs,319.41,5,0.1,7.098, 0.02 , 312.31 
Consumer,New York,East,Office Supplies,Paper,14.56,2,0,6.9888, 0.48 , 7.57 
Consumer,New York,East,Technology,Accessories,30,2,0,3.3, 0.11 , 26.70 
Consumer,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362, 0.34 , 32.12 
Consumer,New York,East,Office Supplies,Art,1.68,1,0,0.84, 0.50 , 0.84 
Consumer,California,West,Technology,Accessories,13.98,2,0,6.1512, 0.44 , 7.83 
Consumer,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612, 0.36 , 16.46 
Consumer,California,West,Office Supplies,Paper,146.73,3,0,68.9631, 0.47 , 77.77 
Consumer,California,West,Furniture,Furnishings,79.76,4,0,22.3328, 0.28 , 57.43 
Home Office,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225, (0.07), 228.34 
Corporate,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024, 0.10 ," 1,001.72 "
Corporate,Arizona,West,Technology,Phones,167.968,4,0.2,62.988, 0.38 , 104.98 
Consumer,Virginia,South,Office Supplies,Paper,75.88,2,0,35.6636, 0.47 , 40.22 
Consumer,New York,East,Office Supplies,Binders,4.616,1,0.2,1.731, 0.38 , 2.89 
Consumer,Michigan,Central,Office Supplies,Paper,19.05,3,0,8.763, 0.46 , 10.29 
Consumer,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912, (0.14), 946.33 
Consumer,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213, 0.01 , 95.83 
Consumer,Tennessee,South,Office Supplies,Storage,72.784,1,0.2,-18.196, (0.25), 90.98 
Corporate,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344, (1.55), 3.18 
Corporate,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248, (0.60), 15.53 
Corporate,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724, 0.10 , 24.52 
Consumer,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475, (0.75), 33.78 
Corporate,Alabama,South,Office Supplies,Appliances,208.16,1,0,56.2032, 0.27 , 151.96 
Corporate,Alabama,South,Office Supplies,Binders,16.74,3,0,8.0352, 0.48 , 8.70 
Consumer,California,West,Office Supplies,Art,14.9,5,0,4.172, 0.28 , 10.73 
Consumer,California,West,Office Supplies,Storage,21.39,1,0,6.2031, 0.29 , 15.19 
Corporate,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075, 0.31 , 138.18 
Home Office,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549, (0.21), 279.33 
Consumer,South Carolina,South,Furniture,Chairs,301.96,2,0,33.2156, 0.11 , 268.74 
Consumer,Minnesota,Central,Technology,Accessories,19.99,1,0,6.7966, 0.34 , 13.19 
Consumer,Minnesota,Central,Office Supplies,Labels,6.16,2,0,2.9568, 0.48 , 3.20 
Home Office,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572, 0.09 , 144.51 
Corporate,California,West,Office Supplies,Art,20.1,3,0,6.633, 0.33 , 13.47 
Corporate,California,West,Technology,Phones,73.584,2,0.2,8.2782, 0.11 , 65.31 
Corporate,California,West,Office Supplies,Paper,6.48,1,0,3.1104, 0.48 , 3.37 
Consumer,Minnesota,Central,Office Supplies,Paper,12.96,2,0,6.2208, 0.48 , 6.74 
Consumer,Minnesota,Central,Furniture,Furnishings,53.34,3,0,16.5354, 0.31 , 36.80 
Consumer,Minnesota,Central,Office Supplies,Binders,32.96,2,0,16.1504, 0.49 , 16.81 
Home Office,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.788, (0.67), 9.47 
Home Office,New York,East,Furniture,Furnishings,96.53,7,0,40.5426, 0.42 , 55.99 
Consumer,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592, 0.35 , 33.35 
Corporate,Minnesota,Central,Office Supplies,Appliances,77.88,6,0,22.5852, 0.29 , 55.29 
Home Office,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184, 0.35 , 42.01 
Home Office,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973, (0.11), 106.77 
Home Office,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396, (1.70), 4.83 
Consumer,Minnesota,Central,Office Supplies,Paper,23.92,4,0,11.7208, 0.49 , 12.20 
Consumer,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758, (0.11), 265.77 
Consumer,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385, (0.04), 106.20 
Consumer,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174, (0.70), 62.70 
Consumer,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016, 0.24 , 56.51 
Consumer,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994, 0.08 , 25.89 
Consumer,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738, 0.33 , 2.23 
Home Office,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992, 0.20 , 271.97 
Corporate,New York,East,Furniture,Furnishings,41.96,2,0,10.9096, 0.26 , 31.05 
Consumer,Iowa,Central,Office Supplies,Art,75.96,2,0,22.788, 0.30 , 53.17 
Consumer,Iowa,Central,Office Supplies,Binders,27.24,6,0,13.3476, 0.49 , 13.89 
Consumer,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348, 0.36 , 25.56 
Consumer,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652, 0.35 , 3.07 
Consumer,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925, 0.31 , 16.48 
Consumer,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316, 0.34 , 86.43 
Consumer,Washington,West,Furniture,Tables,787.53,3,0,165.3813, 0.21 , 622.15 
Corporate,Tennessee,South,Office Supplies,Binders,157.794,1,0.7,-115.7156, (0.73), 273.51 
Consumer,Delaware,East,Furniture,Furnishings,47.04,3,0,18.3456, 0.39 , 28.69 
Consumer,Delaware,East,Office Supplies,Binders,30.84,4,0,13.878, 0.45 , 16.96 
Consumer,Delaware,East,Office Supplies,Storage,226.56,6,0,63.4368, 0.28 , 163.12 
Consumer,Delaware,East,Office Supplies,Envelopes,115.02,9,0,51.759, 0.45 , 63.26 
Consumer,Delaware,East,Technology,Phones,68.04,7,0,19.7316, 0.29 , 48.31 
Home Office,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794, (0.01), 609.14 
Consumer,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682, (0.66)," 1,025.38 "
Consumer,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308, (0.77), 4.22 
Consumer,Arizona,West,Office Supplies,Storage,243.992,7,0.2,30.499, 0.13 , 213.49 
Home Office,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602, (0.11), 90.58 
Home Office,California,West,Furniture,Furnishings,238.56,3,0,26.2416, 0.11 , 212.32 
Corporate,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994, (0.20), 71.96 
Corporate,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364, 0.38 , 48.94 
Corporate,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732, 0.33 , 14.48 
Consumer,California,West,Office Supplies,Paper,20.04,3,0,9.6192, 0.48 , 10.42 
Consumer,California,West,Office Supplies,Paper,35.44,1,0,16.6568, 0.47 , 18.78 
Consumer,California,West,Office Supplies,Art,11.52,4,0,3.456, 0.30 , 8.06 
Consumer,California,West,Office Supplies,Fasteners,4.02,2,0,1.9698, 0.49 , 2.05 
Consumer,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616, 0.35 , 49.51 
Consumer,California,West,Office Supplies,Supplies,65.88,6,0,18.4464, 0.28 , 47.43 
Consumer,California,West,Furniture,Furnishings,43.12,14,0,20.6976, 0.48 , 22.42 
Corporate,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35, 0.13 , 72.45 
Corporate,California,West,Office Supplies,Art,8.82,3,0,2.3814, 0.27 , 6.44 
Corporate,California,West,Office Supplies,Envelopes,10.86,3,0,5.1042, 0.47 , 5.76 
Corporate,California,West,Office Supplies,Paper,143.7,3,0,68.976, 0.48 , 74.72 
Consumer,Missouri,Central,Office Supplies,Appliances,839.43,3,0,218.2518, 0.26 , 621.18 
Consumer,California,West,Office Supplies,Storage,671.93,7,0,20.1579, 0.03 , 651.77 
Home Office,Ohio,East,Furniture,Furnishings,93.888,4,0.2,12.9096, 0.14 , 80.98 
Corporate,Wisconsin,Central,Technology,Phones,384.45,11,0,103.8015, 0.27 , 280.65 
Corporate,Wisconsin,Central,Technology,Phones,149.97,3,0,5.9988, 0.04 , 143.97 
Corporate,Wisconsin,Central,Furniture,Chairs,1951.84,8,0,585.552, 0.30 ," 1,366.29 "
Corporate,Wisconsin,Central,Office Supplies,Binders,171.55,5,0,80.6285, 0.47 , 90.92 
Home Office,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766, 0.11 , 140.15 
Home Office,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388, 0.08 , 187.95 
Corporate,California,West,Office Supplies,Paper,58.38,7,0,26.271, 0.45 , 32.11 
Corporate,California,West,Office Supplies,Paper,105.52,4,0,48.5392, 0.46 , 56.98 
Corporate,California,West,Office Supplies,Storage,80.88,6,0,21.0288, 0.26 , 59.85 
Home Office,Washington,West,Office Supplies,Art,6.63,3,0,1.7901, 0.27 , 4.84 
Consumer,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764, 0.11 , 406.09 
Consumer,Oklahoma,Central,Office Supplies,Labels,14.62,2,0,6.8714, 0.47 , 7.75 
Consumer,Oklahoma,Central,Technology,Phones,944.93,7,0,236.2325, 0.25 , 708.70 
Consumer,California,West,Office Supplies,Paper,5.98,1,0,2.691, 0.45 , 3.29 
Consumer,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596, 0.03 , 53.02 
Consumer,New Mexico,West,Office Supplies,Envelopes,28.4,5,0,13.348, 0.47 , 15.05 
Consumer,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.688, 0.35 , 17.99 
Consumer,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324, 0.28 , 7.20 
Consumer,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992, (0.17)," 9,519.94 "
Consumer,Texas,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347, (0.21), 334.56 
Consumer,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858, (0.01)," 1,764.92 "
Consumer,Texas,Central,Office Supplies,Art,32.064,6,0.2,6.8136, 0.21 , 25.25 
Consumer,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849, (2.55), 631.83 
Consumer,Texas,Central,Technology,Phones,143.976,3,0.2,8.9985, 0.06 , 134.98 
Consumer,California,West,Office Supplies,Paper,20.94,3,0,9.8418, 0.47 , 11.10 
Consumer,California,West,Office Supplies,Paper,110.96,2,0,53.2608, 0.48 , 57.70 
Consumer,California,West,Furniture,Chairs,340.144,7,0.2,21.259, 0.06 , 318.89 
Corporate,Illinois,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12, (2.50), 183.57 
Corporate,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.552, 0.33 , 13.61 
Consumer,Texas,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16, (2.50), 340.42 
Consumer,Ohio,East,Furniture,Chairs,396.802,7,0.3,-11.3372, (0.03), 408.14 
Consumer,Ohio,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715, (0.24), 19.65 
Home Office,New York,East,Office Supplies,Art,3.28,1,0,1.4104, 0.43 , 1.87 
Corporate,Illinois,Central,Office Supplies,Storage,24.816,2,0.2,1.8612, 0.08 , 22.95 
Corporate,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395, 0.19 , 332.10 
Home Office,Louisiana,South,Technology,Phones,503.96,4,0,131.0296, 0.26 , 372.93 
Home Office,Louisiana,South,Technology,Phones,149.95,5,0,41.986, 0.28 , 107.96 
Home Office,Louisiana,South,Technology,Accessories,29,2,0,7.25, 0.25 , 21.75 
Consumer,Connecticut,East,Office Supplies,Binders,7.16,2,0,3.4368, 0.48 , 3.72 
Home Office,California,West,Technology,Accessories,176.8,8,0,22.984, 0.13 , 153.82 
Corporate,Texas,Central,Office Supplies,Storage,37.224,3,0.2,3.7224, 0.10 , 33.50 
Corporate,Texas,Central,Office Supplies,Paper,20.016,3,0.2,6.255, 0.31 , 13.76 
Home Office,New York,East,Furniture,Bookcases,899.136,4,0.2,112.392, 0.13 , 786.74 
Home Office,New York,East,Technology,Phones,71.76,6,0,20.0928, 0.28 , 51.67 
Home Office,New York,East,Office Supplies,Paper,51.84,8,0,24.8832, 0.48 , 26.96 
Home Office,New York,East,Furniture,Bookcases,626.352,3,0.2,46.9764, 0.08 , 579.38 
Home Office,New York,East,Office Supplies,Art,19.9,5,0,6.567, 0.33 , 13.33 
Corporate,California,West,Office Supplies,Envelopes,14.28,7,0,6.7116, 0.47 , 7.57 
Consumer,Ohio,East,Office Supplies,Art,7.408,2,0.2,1.2038, 0.16 , 6.20 
Consumer,Ohio,East,Office Supplies,Art,6.048,3,0.2,1.5876, 0.26 , 4.46 
Home Office,New Jersey,East,Office Supplies,Storage,46.26,3,0,12.0276, 0.26 , 34.23 
Corporate,Pennsylvania,East,Office Supplies,Binders,2.946,2,0.7,-2.2586, (0.77), 5.20 
Corporate,Pennsylvania,East,Office Supplies,Paper,16.056,3,0.2,5.8203, 0.36 , 10.24 
Consumer,Ohio,East,Office Supplies,Paper,21.744,3,0.2,6.795, 0.31 , 14.95 
Consumer,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.875, (0.74), 380.63 
Consumer,Colorado,West,Office Supplies,Appliances,2.6,1,0.2,0.2925, 0.11 , 2.31 
Consumer,Texas,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668, (2.70), 245.25 
Corporate,Tennessee,South,Furniture,Furnishings,35.168,7,0.2,9.6712, 0.28 , 25.50 
Consumer,California,West,Technology,Phones,444.768,4,0.2,44.4768, 0.10 , 400.29 
Consumer,Michigan,Central,Office Supplies,Storage,83.92,4,0,5.8744, 0.07 , 78.05 
Consumer,Michigan,Central,Technology,Phones,131.98,2,0,35.6346, 0.27 , 96.35 
Consumer,Michigan,Central,Office Supplies,Binders,15.92,4,0,7.4824, 0.47 , 8.44 
Consumer,Michigan,Central,Office Supplies,Fasteners,52.29,9,0,16.2099, 0.31 , 36.08 
Consumer,Michigan,Central,Office Supplies,Storage,91.99,1,0,3.6796, 0.04 , 88.31 
Corporate,Texas,Central,Technology,Accessories,20.8,2,0.2,6.5, 0.31 , 14.30 
Corporate,Ohio,East,Office Supplies,Labels,23.68,2,0.2,8.88, 0.38 , 14.80 
Corporate,Ohio,East,Furniture,Bookcases,452.45,5,0.5,-244.323, (0.54), 696.77 
Corporate,Ohio,East,Technology,Phones,62.982,3,0.4,-14.6958, (0.23), 77.68 
Corporate,Ohio,East,Technology,Machines,1188,9,0.7,-950.4, (0.80)," 2,138.40 "
Corporate,Ohio,East,Technology,Accessories,89.584,2,0.2,4.4792, 0.05 , 85.10 
Consumer,California,West,Office Supplies,Storage,93.06,6,0,26.0568, 0.28 , 67.00 
Consumer,California,West,Technology,Phones,302.376,3,0.2,22.6782, 0.08 , 279.70 
Consumer,Ohio,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148, 0.33 , 3.77 
Consumer,Ohio,East,Office Supplies,Paper,22.704,6,0.2,8.2302, 0.36 , 14.47 
Consumer,Ohio,East,Office Supplies,Binders,19.776,4,0.7,-13.8432, (0.70), 33.62 
Consumer,Ohio,East,Furniture,Furnishings,72.704,4,0.2,19.0848, 0.26 , 53.62 
Consumer,Ohio,East,Technology,Machines,479.988,4,0.7,-383.9904, (0.80), 863.98 
Consumer,Ohio,East,Office Supplies,Art,27.168,2,0.2,2.7168, 0.10 , 24.45 
Corporate,Michigan,Central,Office Supplies,Art,2.2,1,0,0.968, 0.44 , 1.23 
Corporate,Michigan,Central,Furniture,Tables,622.45,5,0,136.939, 0.22 , 485.51 
Corporate,Michigan,Central,Office Supplies,Storage,21.98,1,0,0.2198, 0.01 , 21.76 
Consumer,Tennessee,South,Furniture,Chairs,161.568,2,0.2,-28.2744, (0.18), 189.84 
Consumer,Tennessee,South,Furniture,Chairs,389.696,8,0.2,43.8408, 0.11 , 345.86 
Corporate,North Carolina,South,Office Supplies,Binders,18.648,7,0.7,-12.432, (0.67), 31.08 
Home Office,Florida,South,Furniture,Tables,233.86,2,0.45,-102.048, (0.44), 335.91 
Home Office,Florida,South,Furniture,Tables,620.6145,3,0.45,-248.2458, (0.40), 868.86 
Home Office,Florida,South,Office Supplies,Binders,5.328,2,0.7,-3.552, (0.67), 8.88 
Home Office,Florida,South,Furniture,Furnishings,258.072,3,0.2,0, -   , 258.07 
Home Office,Florida,South,Technology,Accessories,617.976,3,0.2,-7.7247, (0.01), 625.70 
Corporate,California,West,Office Supplies,Paper,10.56,2,0,4.752, 0.45 , 5.81 
Consumer,Illinois,Central,Office Supplies,Paper,25.92,5,0.2,9.396, 0.36 , 16.52 
Consumer,Illinois,Central,Furniture,Furnishings,419.68,5,0.6,-356.728, (0.85), 776.41 
Consumer,Illinois,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752, (0.40), 16.36 
Consumer,Illinois,Central,Technology,Phones,31.984,2,0.2,11.1944, 0.35 , 20.79 
Consumer,Illinois,Central,Furniture,Tables,177.225,5,0.5,-120.513, (0.68), 297.74 
Consumer,Illinois,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308, (0.70), 6.87 
Consumer,Illinois,Central,Office Supplies,Art,7.408,2,0.2,1.2038, 0.16 , 6.20 
Home Office,Minnesota,Central,Furniture,Chairs,2001.86,7,0,580.5394, 0.29 ," 1,421.32 "
Home Office,Minnesota,Central,Office Supplies,Storage,166.72,2,0,41.68, 0.25 , 125.04 
Home Office,Minnesota,Central,Office Supplies,Paper,47.88,6,0,23.94, 0.50 , 23.94 
Home Office,Minnesota,Central,Office Supplies,Appliances,1503.25,5,0,496.0725, 0.33 ," 1,007.18 "
Home Office,Minnesota,Central,Office Supplies,Paper,25.92,4,0,12.4416, 0.48 , 13.48 
Consumer,California,West,Furniture,Chairs,321.568,2,0.2,28.1372, 0.09 , 293.43 
Consumer,California,West,Office Supplies,Paper,7.61,1,0,3.5767, 0.47 , 4.03 
Consumer,California,West,Technology,Accessories,3347.37,13,0,636.0003, 0.19 ," 2,711.37 "
Consumer,New York,East,Office Supplies,Storage,80.58,6,0,22.5624, 0.28 , 58.02 
Consumer,New York,East,Office Supplies,Envelopes,361.92,4,0,162.864, 0.45 , 199.06 
Corporate,Illinois,Central,Furniture,Furnishings,12.132,9,0.6,-8.4924, (0.70), 20.62 
Corporate,Illinois,Central,Office Supplies,Storage,82.368,2,0.2,-19.5624, (0.24), 101.93 
Corporate,Illinois,Central,Office Supplies,Storage,53.92,5,0.2,4.044, 0.08 , 49.88 
Corporate,Illinois,Central,Technology,Phones,647.904,6,0.2,56.6916, 0.09 , 591.21 
Consumer,New York,East,Technology,Accessories,20.37,3,0,6.9258, 0.34 , 13.44 
Consumer,New York,East,Office Supplies,Storage,221.55,3,0,6.6465, 0.03 , 214.90 
Consumer,New York,East,Office Supplies,Binders,17.52,5,0.2,6.132, 0.35 , 11.39 
Corporate,Texas,Central,Office Supplies,Appliances,1.624,2,0.8,-4.466, (2.75), 6.09 
Corporate,Texas,Central,Technology,Machines,3059.982,3,0.4,-509.997, (0.17)," 3,569.98 "
Corporate,Texas,Central,Technology,Machines,2519.958,7,0.4,-251.9958, (0.10)," 2,771.95 "
Consumer,Illinois,Central,Technology,Phones,328.224,4,0.2,28.7196, 0.09 , 299.50 
Consumer,California,West,Technology,Accessories,79.9,2,0,35.156, 0.44 , 44.74 
Corporate,North Carolina,South,Office Supplies,Art,14.016,3,0.2,4.7304, 0.34 , 9.29 
Consumer,New Jersey,East,Office Supplies,Fasteners,7.56,6,0,0.3024, 0.04 , 7.26 
Corporate,Ohio,East,Office Supplies,Storage,37.208,1,0.2,-7.4416, (0.20), 44.65 
Corporate,Ohio,East,Office Supplies,Envelopes,57.576,3,0.2,21.591, 0.38 , 35.99 
Corporate,California,West,Office Supplies,Storage,725.84,4,0,210.4936, 0.29 , 515.35 
Consumer,California,West,Technology,Accessories,209.93,7,0,92.3692, 0.44 , 117.56 
Consumer,California,West,Furniture,Furnishings,5.28,3,0,2.3232, 0.44 , 2.96 
Consumer,California,West,Office Supplies,Binders,10.92,3,0.2,4.095, 0.38 , 6.83 
Corporate,California,West,Office Supplies,Paper,8.82,2,0,4.0572, 0.46 , 4.76 
Corporate,California,West,Office Supplies,Art,5.98,1,0,1.5548, 0.26 , 4.43 
Corporate,Pennsylvania,East,Office Supplies,Paper,11.648,2,0.2,4.0768, 0.35 , 7.57 
Corporate,Pennsylvania,East,Office Supplies,Paper,18.176,4,0.2,5.9072, 0.33 , 12.27 
Corporate,Pennsylvania,East,Office Supplies,Storage,59.712,6,0.2,5.9712, 0.10 , 53.74 
Corporate,Pennsylvania,East,Office Supplies,Labels,24.84,3,0.2,8.694, 0.35 , 16.15 
Consumer,Texas,Central,Office Supplies,Binders,2.08,5,0.8,-3.432, (1.65), 5.51 
Consumer,Texas,Central,Technology,Phones,1114.4,7,0.2,376.11, 0.34 , 738.29 
Consumer,California,West,Furniture,Tables,1038.84,5,0.2,51.942, 0.05 , 986.90 
Consumer,Oregon,West,Office Supplies,Paper,141.76,5,0.2,47.844, 0.34 , 93.92 
Consumer,Oregon,West,Technology,Accessories,239.8,5,0.2,47.96, 0.20 , 191.84 
Consumer,Oregon,West,Office Supplies,Paper,31.104,6,0.2,10.8864, 0.35 , 20.22 
Corporate,Florida,South,Office Supplies,Binders,254.058,7,0.7,-169.372, (0.67), 423.43 
Corporate,Florida,South,Office Supplies,Appliances,194.528,2,0.2,24.316, 0.13 , 170.21 
